Plate,Light,Caging,Frame,Top/Bottom,Left/Middle/Right,Accumulated_microalgae,Amathia_1,Amathia_2,Amphibalanus_variegatus,Arachnopusia_unicornis,Ascidian_1,Ascidian_2,Ascidiella_aspersa,Austrobalanus_imperator,Bare_space,Beania_magellanica,Botrylloides_leachii,Bugula_dentata,Bugula_flabellata,Bugula_neritina,Branching_brown_algae_1,Branching_green_algae_mix,Branching_red_algae_1,Branching_red_algae_3,Bryozoan_1,Bryozoan_2,Bryozoan_4,Bryozoan_5,Celleporaria_1,Centroceras_clavulatum,Ceramium_1,Cladophora_prolifera,Codium_fragile,Colpomenia_sinuosa,Conopeum_seurati,Crassostrea_gigas,Crisia_tenuous,Didemnum_1,Diplosoma_listerianum,Disporella_novaehollandidae,Encrusting_green_algae_1,Encrusting_coralline_algae_1,Fenestrulina_mutabilis,Filamentous_brown_algae,Filamentous_green_algae_2,Filamentous_green_algae_3,Filamentous_green_algae_4,Filamentous_green_algae_5,Filamentous_green_algae_6,Filamentous_red_algae_2,Filamentous_red_algae_3,Filamentous_red_algae_4,Filamentous_red_algae_5,Filamentous_red_algae_6,Foliose_brown_algae_1,Foliose_green_algae_1,Foliose_red_algae_1,Foliose_red_algae_2,Herdmania_momus,Hydroides_tube,Hydroid_1,Hydroid_2,Hydroid_3,Invertebrate_connective_tubing,Juvenile_barnacle_1,Microporella_1,Mucropetraliella_ellerii,Polysiphonia_1,Scruparia_ambigua,Serpulid_1,Solitary_ascidian_3,Spermothamnion_1,Spirobranchus_1,Spirorbid_1,Spirorbid_2,Spirorbid_3,Sycon_1,Tricellaria_inopinata,Ulva_australis,Ulva_intestinalis,Watersipora_subatra,Yellow_sponge_1
2_88_CC,Moderate light,Control,2,Top,Middle,5,0,0,0.5,0,0,0,0,0,43,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
2_92_CC,Moderate light,Control,2,Bottom,Left,3,0,0,0.5,0,0,0,0,0,49,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0
3_1_FC,Full shade,Caged,3,Bottom,Left,0,0,0.5,3,3,0.5,0,1,0,36,1,0.5,0,0.5,11,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0.5,0,0,0,0,23,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3_30_OP,Full shade,Uncaged,3,Top,Left,0,0.5,0.5,0.5,2,0,0,0,0,73,0.5,0,0,0,0.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0
3_37_CC,Full shade,Control,3,Bottom,Middle,0,0,0.5,2,2,0,0,0,0,69,0,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,2,0.5,0,0.5,0,0,0,0,0
3_55_CC,Full shade,Control,3,Top,Middle,0,0,0.5,1,0.5,0,0,0,0,67,0,0.5,0,0,0.5,0,0,0,0,0,2,1,0,0,0,0,0,0,0.5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0
3_60_OP,Full shade,Uncaged,3,Bottom,Right,0,0.5,0.5,1,0.5,0,0,0,0,80,0,0.5,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0.5,0
3_83_FC,Full shade,Caged,3,Top,Right,0,0,0.5,11,0.5,0,0,0,0,40,1,1,0,1,14,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
4_23_FC,Weak light,Caged,4,Top,Middle,2,0,0,2,0.5,0,0,0,0.5,51,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,5,0,0,0,0.5,0.5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0
4_24_FC,Weak light,Caged,4,Bottom,Left,0.5,0,0,2,1,0,0,0,0,42,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,5,1,0,0,0.5,20,0,0,0,0,10,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0
4_56_OP,Weak light,Uncaged,4,Top,Right,3,0,0,0.5,0,0,0,0,0,59,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0
4_7_CC,Weak light,Control,4,Top,Left,0.5,0,0,0,0.5,0,0,0,0,46,0,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0.5,0,3,0,0,0,0,0.5,0,0,0,0,32,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0
4_77_OP,Weak light,Uncaged,4,Bottom,Middle,3,0,0,1,0,0,0,0,0,49,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0
4_96_CC,Weak light,Control,4,Bottom,Right,4,0,0,1,0,0,0,0,0,56,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0.5,0,18,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
5_15_OP,Weak light,Uncaged,5,Top,Middle,3,0,0,0.5,0,0,0,0,0,58,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,20,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
5_46_FC,Weak light,Caged,5,Bottom,Middle,4,0,0,2,0,0,0,0,0,37,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0.5,0.5,0,4,0,0,0,0,5,0,1,0,0.5,28,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0
5_50_CC,Weak light,Control,5,Top,Left,0.5,0,0,0.5,0,0,0,0,0,56,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,22,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
5_63_OP,Weak light,Uncaged,5,Bottom,Right,1,0,0,0.5,0,0,0,0,0,60,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0.5,0,0.5,0,0,18,0,0,0.5,0.5,0,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0
5_9_CC,Weak light,Control,5,Bottom,Left,1,0,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,28,0.5,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
5_90_FC,Weak light,Caged,5,Top,Right,1,0,0,2,0,0,0,0,0,53,0,0.5,0,0.5,0.5,0,0.5,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0.5,0.5,0,0,0.5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,5,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0
6_2_OP,Moderate light,Uncaged,6,Bottom,Left,4,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,22,0,0,0.5,0.5,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0.5,0,0
6_29_FC,Moderate light,Caged,6,Top,Left,5,0.5,0,0.5,0.5,0,0,0.5,0,37,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,6,0,0,0,0,0.5,0,0.5,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0.5
6_40_CC,Moderate light,Control,6,Top,Middle,0.5,0,0,0.5,0,0,0,0,0,44,0,0,0,0,0.5,0,3,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0
6_49_CC,Moderate light,Control,6,Bottom,Right,1,0,0,0.5,0.5,0,0,0,0,43,0,0,0,0,0,0,6,0,0,0,0.5,0,0,0,0,0,0.5,0,1,0,0,0.5,0,0,0,0,0.5,0,30,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0,0
6_57_FC,Moderate light,Caged,6,Bottom,Middle,1,0,0,0.5,0,0,0,0.5,0,40,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,40,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
6_79_OP,Moderate light,Uncaged,6,Top,Right,1,0,0,0.5,0,0,0,0,0,61,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,19,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
7_11_OP,No shade,Uncaged,7,Bottom,Right,2,0,0,0.5,0,0,0,0,0,63,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,15,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,1,0,0,0,0,0,0.5,0,0
7_12_CC,No shade,Control,7,Top,Left,2,0,0,0.5,0.5,0,0,0,0.5,57,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,4,0,0,0,0,0.5,0,0,0,0,18,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
7_52_FC,No shade,Caged,7,Top,Right,2,0,0,3,0.5,0,0,0,0.5,49,0,0.5,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0.5,0,0,9,0,0,0,0,0,0,0,0.5,0,9,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0
7_61_OP,No shade,Uncaged,7,Top,Middle,0.5,0,0,0.5,0,0,0,0,0,62,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0
7_66_FC,No shade,Caged,7,Bottom,Left,0.5,0,0,3,1,0,0,0.5,0,48,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,2,0,0,0,0,0,0.5,0,0.5,0,27,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
7_75_CC,No shade,Control,7,Bottom,Middle,0.5,0,0,2,0.5,0,0,0,0,55,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0.5,0,0.5,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0,0
8_14_FC,No shade,Caged,8,Bottom,Middle,3,0,0,4,0.5,0,0,0,0,41,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0.5,0,0,5,0,0,0,0,0,0,0,0.5,0,28,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0
8_25_CC,No shade,Control,8,Top,Right,0.5,0,0,0.5,0,0,0,0,0.5,67,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,12,0.5,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0
8_32_FC,No shade,Caged,8,Top,Left,0.5,0,0,1,2,0,0,0,0,36,0,0,0,0,0,0,1,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,11,0,0,0,0,0,0.5,0,0.5,0,30,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0
8_62_OP,No shade,Uncaged,8,Bottom,Left,1,0,0,0.5,0,0,0,0,0,62,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0
8_68_OP,No shade,Uncaged,8,Top,Middle,1,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0,13,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0
8_76_CC,No shade,Control,8,Bottom,Right,0.5,0,0,0.5,0.5,0,0,0,0,68,0,0,0,0,0,0,1,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,12,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0
